model,lambda,seed,episode,reward,original_reward,collision,success,tailgating_count,tailgating_rate,unsafe_lane_change_count,unsafe_lane_change_rate,lane_changes,speed,survival_time,safety_violation_score
Safe PPO,0.1,789,6,22.02568183792192,22.02568183792192,0,1,0,0.0,0,0.0,0,20.032102297402385,30,0.0
Safe PPO,0.1,789,7,20.02568183792191,20.02568183792191,0,1,0,0.0,0,0.0,0,20.032102297402385,30,0.0
Safe PPO,0.1,789,8,22.02568183792192,22.02568183792192,0,1,0,0.0,0,0.0,0,20.032102297402385,30,0.0
Safe PPO,0.1,789,9,21.025681837921898,21.025681837921898,0,1,0,0.0,0,0.0,0,20.032102297402385,30,0.0
Safe PPO,0.1,789,10,21.025681837921898,21.025681837921898,0,1,0,0.0,0,0.0,0,20.032102297402385,30,0.0
Safe PPO,0.1,789,11,20.02568183792191,20.02568183792191,0,1,0,0.0,0,0.0,0,20.032102297402385,30,0.0
Safe PPO,0.1,789,12,21.025681837921898,21.025681837921898,0,1,0,0.0,0,0.0,0,20.032102297402385,30,0.0
Safe PPO,0.1,789,13,21.025681837921898,21.025681837921898,0,1,0,0.0,0,0.0,0,20.032102297402385,30,0.0
Safe PPO,0.1,789,14,22.02568183792192,22.02568183792192,0,1,0,0.0,0,0.0,0,20.032102297402385,30,0.0
Safe PPO,0.1,789,15,21.025681837921898,21.025681837921898,0,1,0,0.0,0,0.0,0,20.032102297402385,30,0.0
Safe PPO,0.1,789,16,19.525681837921912,20.02568183792191,0,1,1,0.03333333333333333,0,0.0,0,20.032102297402385,30,0.03333333333333333
Safe PPO,0.1,789,17,7.525681837921908,21.025681837921898,0,1,27,0.9,0,0.0,0,20.032102297402385,30,0.9
Safe PPO,0.1,789,18,21.025681837921898,21.025681837921898,0,1,0,0.0,0,0.0,0,20.032102297402385,30,0.0
Safe PPO,0.1,789,19,16.02568183792192,22.02568183792192,0,1,12,0.4,0,0.0,0,20.032102297402385,30,0.4
Safe PPO,0.1,2025,0,21.025681837921898,21.025681837921898,0,1,0,0.0,0,0.0,0,20.032102297402385,30,0.0
Safe PPO,0.1,2025,1,18.525681837921915,22.02568183792192,0,1,7,0.23333333333333334,0,0.0,0,20.032102297402385,30,0.23333333333333334
Safe PPO,0.1,2025,2,21.025681837921898,21.025681837921898,0,1,0,0.0,0,0.0,0,20.032102297402385,30,0.0
Safe PPO,0.1,2025,3,20.525681837921898,21.025681837921898,0,1,1,0.03333333333333333,0,0.0,0,20.032102297402385,30,0.03333333333333333
Safe PPO,0.1,2025,4,20.02568183792191,20.02568183792191,0,1,0,0.0,0,0.0,0,20.032102297402385,30,0.0
Safe PPO,0.1,2025,5,20.02568183792191,20.02568183792191,0,1,0,0.0,0,0.0,0,20.032102297402385,30,0.0
Safe PPO,0.1,2025,6,20.525681837921898,21.025681837921898,0,1,1,0.03333333333333333,0,0.0,0,20.032102297402385,30,0.03333333333333333
Safe PPO,0.1,2025,7,20.525681837921898,21.025681837921898,0,1,1,0.03333333333333333,0,0.0,0,20.032102297402385,30,0.03333333333333333
Safe PPO,0.1,2025,8,22.02568183792192,22.02568183792192,0,1,0,0.0,0,0.0,0,20.032102297402385,30,0.0
Safe PPO,0.1,2025,9,21.025681837921898,21.025681837921898,0,1,0,0.0,0,0.0,0,20.032102297402385,30,0.0
Safe PPO,0.1,2025,10,16.0256818379219,20.02568183792191,0,1,8,0.26666666666666666,0,0.0,0,20.032102297402385,30,0.26666666666666666
Safe PPO,0.1,2025,11,20.02568183792191,20.02568183792191,0,1,0,0.0,0,0.0,0,20.032102297402385,30,0.0
Safe PPO,0.1,2025,12,12.525681837921912,22.02568183792192,0,1,19,0.6333333333333333,0,0.0,0,20.032102297402385,30,0.6333333333333333
Safe PPO,0.1,2025,13,22.02568183792192,22.02568183792192,0,1,0,0.0,0,0.0,0,20.032102297402385,30,0.0
Safe PPO,0.1,2025,14,22.02568183792192,22.02568183792192,0,1,0,0.0,0,0.0,0,20.032102297402385,30,0.0
Safe PPO,0.1,2025,15,21.025681837921898,21.025681837921898,0,1,0,0.0,0,0.0,0,20.032102297402385,30,0.0
Safe PPO,0.1,2025,16,20.525681837921898,21.025681837921898,0,1,1,0.03333333333333333,0,0.0,0,20.032102297402385,30,0.03333333333333333
Safe PPO,0.1,2025,17,22.02568183792192,22.02568183792192,0,1,0,0.0,0,0.0,0,20.032102297402385,30,0.0
Safe PPO,0.1,2025,18,21.025681837921898,21.025681837921898,0,1,0,0.0,0,0.0,0,20.032102297402385,30,0.0
Safe PPO,0.1,2025,19,21.025681837921898,21.025681837921898,0,1,0,0.0,0,0.0,0,20.032102297402385,30,0.0
Safe PPO,0.5,42,0,20.02568183792191,20.02568183792191,0,1,0,0.0,0,0.0,0,20.032102297402385,30,0.0
Safe PPO,0.5,42,1,-6.474318162078096,21.025681837921898,0,1,11,0.36666666666666664,0,0.0,0,20.032102297402385,30,0.36666666666666664
Safe PPO,0.5,42,2,12.025681837921919,22.02568183792192,0,1,4,0.13333333333333333,0,0.0,0,20.032102297402385,30,0.13333333333333333
Safe PPO,0.5,42,3,22.02568183792192,22.02568183792192,0,1,0,0.0,0,0.0,0,20.032102297402385,30,0.0
Safe PPO,0.5,42,4,21.025681837921898,21.025681837921898,0,1,0,0.0,0,0.0,0,20.032102297402385,30,0.0
Safe PPO,0.5,42,5,20.02568183792191,20.02568183792191,0,1,0,0.0,0,0.0,0,20.032102297402385,30,0.0
